ID,HOF_S(kJ/mol),Density(g/cm^3),BDE(kJ/mol),DetoD(m/s),DetoP(GPa),SMILES
JITLUT,-245.6,1.229,293.9,4249,6.3,CC(N1CCCO[C@@H]1c1ccc(cc1)[N+](=O)[O-])C
JIZJIL,18.2,1.4201,314.3,5862,13.3,[O-][N+](=O)c1cnc(n1C)C
JODHOA,358.5,1.5402,288.3,6139,15.4,[O-][N+](=O)c1ccc(cc1)n1nnnc1N
JODSEA,-148.2,1.3137,298.8,4100,6.2,O=C(Cc1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
JOFGER,-137.8,1.4242,278.2,4974,9.6,COc1cc2n(cnc2c(c1)[N+](=O)[O-])C(C)C
JOFGUH,32.1,1.3673,308.8,4622,8.1,COc1cccc(c1)/C(=N/Nc1ccc(cc1)[N+](=O)[O-])/C
JOHBUD01,89.4,1.5514,244.7,7051,20.5,[O-][N+](=O)[C@H]1[C@@H](C21CC2)[N+](=O)[O-]
JOKLIG,-17.4,1.3637,335.5,4634,8.1,CNC1=C([N+](=O)[O-])[C@@H](c2c(O1)[nH]nc2C)c1ccc(cc1)C
JOKQOR,134.8,1.6078,286.7,5947,14.9,CC(=O)Nc1ccc(cc1[N+](=O)[O-])c1[nH]nnn1
JOKTIM,4.8,1.6523,310.6,6415,17.6,[O-][N+](=O)C1=CC(=[N+]([O-])[O-])[C@]2(C(=C1)[N+](=O)[O-])OCc1[n+]2cccc1
JOLNED,226.7,1.3878,302,5656,12.2,CN(/N=N/c1ccc(cc1)[N+](=O)[O-])C
JOPNAD,416,1.61,271.7,7757,25.4,[O-][N+](=O)[N-][N@+]12CC[N@+](CC1)(CC2)[N-][N+](=O)[O-]
JOPNUX,-306.6,1.3877,302.3,5058,9.8,[O-][N+](=O)c1ccc2c(c1)NCCOCCNCCO2
JORBUN,-216,1.5533,129.3,7317,22.1,[O-][N+](=O)C(C([N+](=O)[O-])(C)C)([N+](=O)[O-])C
JORCAU,-242.1,1.5214,121.5,6976,19.8,CCC(C([N+](=O)[O-])(C)C)([N+](=O)[O-])[N+](=O)[O-]
JOTDOL,-563,1.438,152,5352,11.2,CCC(=O)N1CN([C@@H]2[C@H]1OCN2[N+](=O)[O-])C(=O)CC
JOTFED,-278.7,1.5956,146.3,6589,18.2,CC(=O)N1CN([C@H]2[C@@H]1N(CN2[N+](=O)[O-])[N+](=O)[O-])C(=O)C
