ID,HOF_S(kJ/mol),Density(g/cm^3),BDE(kJ/mol),DetoD(m/s),DetoP(GPa),SMILES
OTOFIN,-165.1,1.5235,303.3,5417,11.9,Nc1cc(ccc1C)Nc1cc(O)c(cc1[N+](=O)[O-])[N+](=O)[O-]
OVUYEL,-47.9,1.2369,294.1,4022,5.7,Cc1ccc(cc1)/C(=C\[N+](=O)[O-])/N1CCCCC1
OWUQEE,-52.4,1.4117,304.1,4452,7.6,Oc1ccc(cc1/C=N/c1ccccc1)[N+](=O)[O-]
OWUYOW02,759.5,1.7503,112.1,7739,26.6,[O-][N+](=O)N(c1nonc1c1nocn1)CCN(c1nonc1c1nocn1)[N+](=O)[O-]
OXIMOZ,-565,1.4314,307.6,4549,8.1,CCOC(=O)c1c(C)[nH]c(c1O)c1ccc(cc1)[N+](=O)[O-]
OXINEQ,61.6,1.5107,139.4,5639,12.9,N#Cc1c2CCCCC(c2nc(c1C#N)O)([N+](=O)[O-])[N+](=O)[O-]
OXIRUK,412.9,1.4877,282.2,6449,16.6,[O-][N+](=O)c1nn(cn1)CC#C
OXISEV,241.9,1.5043,280.1,6554,17.3,[O-][N+](=O)c1nn(cn1)C=C
OXONOG,1722.4,1.8795,131.6,9038,37.9,O=[N+](c1nonc1N[N+](=O)[O-])[N-]c1nonc1/N=N/c1nonc1[N-][N+](=O)c1nonc1N[N+](=O)[O-]
OZAZEV,105.7,1.4459,268.5,5758,13,COCc1c(C#N)c(NN)nc(c1[N+](=O)[O-])C
PABBOJ,335.2,1.7559,250,7412,24.5,[O-][N+](=O)c1cc(cc(c1n1nnc2c1c(cc(c2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
PABHAB01,121.8,1.7112,241.8,6938,21.1,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])n1c(C)nc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-]
PABPIR,66.1,1.2601,270.8,4398,6.9,CN(CCCNc1ccnc2c1cccc2[N+](=O)[O-])C
PABPUD,61.5,1.3087,311.6,4494,7.4,CN(CCCNc1c(cnc2c1cccc2)[N+](=O)[O-])C
PADQUJ,-413.4,1.2981,250.9,4316,6.8,[O-][N+](=O)C[C@H](c1c(N)n(C)c(=O)n(c1=O)C)c1ccccc1
PADZAX,439.5,1.4608,301.7,4628,8.5,[O-][N+](=O)c1ccc(cc1)NN=C1c2cccnc2c2c1cccn2
PAGNUJ,176.2,1.7302,241.1,7437,24.4,[O-][N+](=O)c1ncn(c1)c1c(cc(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-]
PAGPOF,-99.3,1.5248,231.5,6385,16.6,[O-][N+](=O)c1c(NC(C)(C)C)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N
PAGPUL,495.2,1.7496,245.1,7670,26.1,N#[N+]/N=C/1\N=C(C=[N+]1c1c(cc(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
PAGQAS,511.1,1.7008,238.4,7521,24.7,N#[N+]/N=C/1\N=C(C=[N+]1c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
PAHBEG,180.2,1.4332,289.9,5080,10.1,[O-][N+](=O)c1ccc(cc1)/C=N/CC/N=C/c1ccc(cc1)[N+](=O)[O-]
PAMGIT,493.5,1.2962,282.8,4470,7.2,N#CC(C(c1ccccc1)(C)C)(/N=N/c1ccc(cc1)[N+](=O)[O-])C#N
PAMNIA,-195.7,1.4612,289.1,4839,9.3,O=C1CCCN1c1cccc(c1)[N+](=O)[O-]
PAMQAW,-108.8,1.4609,117.7,5954,14,[O-][N+](=O)C1(CCCCCCc2c1cno2)[N+](=O)[O-]
PANJOE,76.5,1.34,301.4,4116,6.3,[O-][N+](=O)c1ccc2c(c1)n(CCc1ccccc1)cn2
PANJUK,13.9,1.412,284,5021,9.7,O=C(c1cccc(c1)[N+](=O)[O-])CCn1cncn1
PAQZEN,108.6,1.246,295.7,3957,5.5,[O-][N+](=O)c1ccc(cc1)C(c1cccn1C)c1cccn1C
PARPOO,321,1.389,273.9,4947,9.3,[O-][N+](=O)c1ccc(nc1C)/N=N/c1ccccc1
PASJUP,-324.7,1.3132,179.3,5595,11.5,CC[C@@]([C@@]([N+](=O)[O-])(CC)C)([N+](=O)[O-])C
PAVDOH,23,1.3744,287.3,4491,7.6,Cc1ccc(cc1)C(=O)N/N=C/c1cccc(c1)[N+](=O)[O-]
PAVJAY,-296.3,1.4731,276.9,5066,10.2,Cc1ccc(cc1)OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
PAVVEN,-461.6,1.4605,276,4938,9.6,OC[C@H]1O[C@H](C[C@@H]1O)n1ccc2c1c(ccc2)[N+](=O)[O-]
PAVZET,-92.7,1.4141,287.4,4732,8.7,COc1ccc(cc1)C(=O)N/N=C/c1cccc(c1)[N+](=O)[O-]
PAVZIX,80.8,1.5487,277.4,5083,10.6,Nc1ccc(cc1)C(=O)N/N=C/c1ccccc1[N+](=O)[O-]
PAWGUR,-99.6,1.2412,228.3,3991,5.6,[O-][N+](=O)C(Cc1c[nH]c2c1cccc2)(C)C
PAWVIV,-13.6,1.8398,134,8361,32,[O-][N+](=O)O[C@]12C[C@H]3N([C@@H](C2)N([C@@H](C1)N3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
PAXQUC,210.8,1.5195,282.9,5819,13.7,O=C(c1ccc(cc1)[N+](=O)[O-])C[N-][N+]#N
PAXTAL,13.3,1.288,294.9,4028,5.9,Cc1ccc(cc1)CNc1cccc(c1)[N+](=O)[O-]
PAYBAV,-66.5,1.4892,288.2,4875,9.5,CCn1c2ncc(c(=O)n2c2c1cccc2)[N+](=O)[O-]
PECQAS,-733.4,1.4014,287.9,4981,9.5,COC(=O)/C(=N/NC(=O)c1ccc(cc1)[N+](=O)[O-])/CC(=O)OC
PEDREY,-75.7,1.4228,292.6,4847,9.1,CCN1C(=O)/C(=N\Nc2ccc(cc2)[N+](=O)[O-])/C(=C(C1=O)C#N)C
PELHUL,-51.1,1.4687,309,5983,14.2,NCCNc1cc(NCCN)c(cc1[N+](=O)[O-])[N+](=O)[O-]
PEMCAM06,56.5,1.3119,303.9,4754,8.3,CN(c1ccc(cc1)/C=C/[N+](=O)[O-])C
PESJIH,145.8,1.3456,309.9,5274,10.4,C/C=N/Nc1ccc(cc1)[N+](=O)[O-]
PESNAF,162.8,1.4714,291.3,4530,8.2,[O-][N+](=O)c1ccc(cc1)n1cnc2c1cccc2
PESQOW,149.7,1.3411,290.3,3760,5.3,Cc1cccc(c1)c1nc2c(n1c1ccc(cc1)[N+](=O)[O-])cccc2
PEVQIR,-169.1,1.5018,293.8,4795,9.3,[O-][N+](=O)c1ccc(cc1)Oc1ccccc1Oc1ccc(cc1)[N+](=O)[O-]
PEXKEI,46.2,1.3275,296.5,3886,5.6,[O-][N+](=O)c1ccc2c(c1)C[C@H]1N[C@]2(C)c2c1cccc2
PEZPIV,150.4,1.488,287.5,5289,11.2,Cc1nn2c(n1)n(nc2c1ccc(cc1)[N+](=O)[O-])C(=O)C
PICFOW,-165.2,1.35,300.2,4639,8,C/C(=C/C(=O)C)/Nc1ccc(cc1)[N+](=O)[O-]
PICNEX,409.7,1.7742,239.7,7994,28.6,N#[N+][N-]c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
PICRAC17,-154,1.789,255.2,7730,26.9,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])O
PICRIC,131.2,1.5314,237.8,5295,11.4,O=c1ccc2c(cc1)c(nn2c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
PIGLOI,203.8,1.7603,245.1,7830,27.3,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])n1cnc(c1[N+](=O)[O-])[N+](=O)[O-]
PIGSEF,170.6,1.8422,256.6,8062,29.8,[O-][N+](=O)c1nc(cn1c1c([N+](=O)[O-])c(N)c(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-]
PIGSIJ,216.8,1.8019,242.2,7958,28.6,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])n1cnc(c1[N+](=O)[O-])[N+](=O)[O-]
PIGSOP,191.6,1.7477,244.7,7768,26.8,[O-][N+](=O)c1nc(cn1c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
PIGSUV,195,1.8275,253,8038,29.5,[O-][N+](=O)c1c(N)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])n1cnc(c1[N+](=O)[O-])[N+](=O)[O-]
PILGEX,-75.4,1.3879,276.4,4698,8.4,COc1ccc(cc1)C(=O)N/N=C/c1ccccc1[N+](=O)[O-]
PILGID,127.7,1.3156,296.9,4344,6.9,[O-][N+](=O)c1ccc(cc1)c1nc2n(c1NC(C)(C)C)ccnc2
PILHOI,-236.8,1.5886,238.4,6427,17.3,COc1c(c(ccc1[N+](=O)[O-])[N+](=O)[O-])c1c(OC)ccc(c1[N+](=O)[O-])[N+](=O)[O-]
PIMKIF,-381.2,1.4133,1755324.9,6205,14.9,[O-][N+](=O)OC[C@@H]1CC[C@H](CC1)CO[N+](=O)[O-]
PIMKOL,-492.2,1.6999,136,7601,25.2,[O-][N+](=O)O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O[N+](=O)[O-]
PIPWOA,158.9,1.3978,303.1,4722,8.5,Cn1cnc(c1/C=C/c1ccccc1)[N+](=O)[O-]
PITDAZ,8.3,1.4214,292,4566,8.1,COc1ccc2c(c1)n(cn2)c1ccc(cc1)[N+](=O)[O-]
PIWDUU,-238.9,1.2156,223.2,3743,4.8,[O-][N+](=O)[C@@H]1CCN2[C@H]1[C@]1(CCCC1(C)C)CC2
PIWSEU,-232.7,1.4422,220.4,4712,8.7,[O-][N+](=O)[C@@H]([C@@H]1NC(=O)c2c1cccc2)C
PIZHAH,3.7,1.441,136.5,6782,18,O=NN1CC(C1)(CC)O[N+](=O)[O-]
PIZNUJ,-110.8,1.2884,234.3,3973,5.7,COc1ccc(cc1)[C@@H](c1c[nH]c2c1cccc2)C[N+](=O)[O-]
PNBPIP,-243.6,1.3111,291,4353,6.9,O=C(c1ccc(cc1)[N+](=O)[O-])N1CCCCC1
PNOIZA,169.7,1.4362,301.7,4298,7.2,[O-][N+](=O)c1ccc2n(c1)cc(c2)c1ccccc1
PNOIZB,173.7,1.4066,290.7,4247,6.9,[O-][N+](=O)c1cccn2c1cc(c2)c1ccccc1
PNOIZD,94.5,1.4231,314.3,4144,6.7,[O-][N+](=O)c1cccc2c1[nH]cc2c1ccccc1
PNPAUR,-592.4,1.4575,295.3,4879,9.4,O=C(Cc1ccc(cc1)[N+](=O)[O-])NCC(=O)O
POMVAP,-182.4,1.3234,289.9,4178,6.4,COC(=O)/C(=C/c1ccccc1)/C/N=C/c1cccc(c1)[N+](=O)[O-]
PONQOZ,-442,1.3669,308.1,4699,8.3,CCOC(=O)c1ccc(c(c1)[N+](=O)[O-])NCC
POQFIM,151.7,1.3913,272.6,4874,9.1,COc1ccc(cc1)/N=N/c1ccccc1[N+](=O)[O-]
POQFOS,-377.2,1.4793,315.1,5166,10.6,CC(=O)Nc1ccc(c(c1)[N+](=O)[O-])O
PORFUZ,90.8,1.4417,282.6,5113,10.2,Cc1ccc2c(c1)[n+]([O-])cc(c2)[N+](=O)[O-]
POTGUC,-233,1.777,106,7932,28.2,[O-][N+](=O)C1([N+](=O)[O-])[C@H]2C[C@H]3C([C@@H]1C[C@@H](C2([N+](=O)[O-])[N+](=O)[O-])C3)([N+](=O)[O-])[N+](=O)[O-]
POVKOA,163.2,1.3702,293,4495,7.6,Nc1ccc(cc1)/N=C/c1cccc(c1)[N+](=O)[O-]
POWPEX,-39.3,1.4072,286.4,4461,7.7,[O-][N+](=O)c1ccc(cc1)/C=N/c1ccccc1C(=O)N
POZGER,319.5,1.3125,285.4,4441,7.2,[O-][N+](=O)c1cccc(c1)n1nncc1c1ccccc1
POZQOL,-68.2,1.4915,237.6,5675,12.9,O=C[C@@H]1[C@H]([C@@H]1[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-]
PUBMUU20,417.7,2.063,146.2,9734,46.3,[O-][N+](=O)N1[C@@H]2N([C@@H]3[C@H]1N([N+](=O)[O-])[C@@H]1N([C@H]2N([N+](=O)[O-])[C@@H]1N3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
PUFMEJ,142.6,1.4525,310.9,5184,10.6,[O-][N+](=O)c1ccccc1N/N=C/c1ccco1
PUFMOT,-152.9,1.3698,294.5,4686,8.3,CCOc1cc(/C=N/Nc2cccc(c2)[N+](=O)[O-])ccc1O
PUGWIY,-254.8,1.4752,289.3,4934,9.7,COc1ccccc1C(=O)N/N=C/c1cc(O)ccc1[N+](=O)[O-]
PUGYIA,-169.3,1.3617,295.3,4621,8,O=Cc1cc(ccc1N1CCCCC1)[N+](=O)[O-]
PUHFEE02,-352.1,1.5341,226.4,5114,10.7,[O-][N+](=O)C[C@]1(O)C(=O)Nc2c1cccc2
PUJLIR,-371.8,1.4112,288.1,4770,8.8,CCOC(=O)c1[nH]nc(c1)C(=O)c1ccc(cc1)[N+](=O)[O-]
PUNDOT,-96.3,1.4108,258.8,5509,11.7,Cc1c([N+](=O)[O-])c(C)cc(c1[N+](=O)[O-])C
PUQQIC,-92.3,1.5759,296.5,5265,11.5,C/C(=N\Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/c1cc2ccccc2oc1=O
PUQQOI,-238.6,1.4029,289.1,4772,8.7,O=C1CC(C)(C)CC(=O)C1=NNc1cccc(c1)[N+](=O)[O-]
PUTCEM,506.8,1.8298,266,7421,25.1,[O-][N+](=O)c1cc(cc2c1N=[N+]1[N+]2=Nc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
PUTCOW,155.2,1.7244,262.4,7005,21.6,COc1c(cc(c2c1nn(n2)c1cc(cc(c1N)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
PUTCUC,502.8,1.7799,264.1,7627,26.1,[O-][N+](=O)c1cc(cc2=[N+]3[N+](=C(C=N3)[N+](=O)[O-])N=c12)[N+](=O)[O-]
PUVSEE,-193.3,1.4101,260.2,4886,9.2,CN(/C=C/1\N=C(OC1=O)c1ccccc1[N+](=O)[O-])C
PUVSOO,243.8,1.6822,140.5,6826,20.2,[O-][N+](=O)c1ccc2c(c1)cnn2[N+](=O)[O-]
PUWGET,-228.1,1.319,278.7,4226,6.6,COC(=O)/C(=C(\c1ccccc1)/Nc1ccccc1)/[N+](=O)[O-]
PUWGIX,-362.1,1.2889,248.5,4316,6.7,COC(=O)/C(=C(\c1ccccc1)/N1CCCCC1)/[N+](=O)[O-]
PUXQUW,-107,1.4339,292.6,4820,9.1,CCN1C(=O)/C(=N\Nc2ccc(cc2)[N+](=O)[O-])/C(=C(C1=O)C#N)CC
QABDEE,-63.7,1.335,295.3,4610,7.9,[O-]/[N+](=C\c1ccc(cc1)[N+](=O)[O-])/CCOCc1ccccc1
QAHPIZ,7.1,1.2769,284.7,4376,6.9,OC(=O)/C=C\c1nnc(n1c1ccc(cc1)[N+](=O)[O-])c1ccccn1
QAJJUI,-107.9,1.5101,289.5,4910,9.7,Oc1cccc(c1)/C=N/NC(=O)c1cccc(c1)[N+](=O)[O-]
QAJWUV,-440.7,1.4776,298.8,5012,10,COC(=O)/C=C\C(=O)Nc1ccc(cc1)[N+](=O)[O-]
QAMJOG,-712.9,1.2823,146.4,4584,7.6,CO[C@@H]1[C@@H](O[N+](=O)[O-])c2c(N1C(=O)OC(C)(C)C)cccc2
QANWAE,-57.1,1.4025,305.8,4993,9.6,Oc1ccc(cc1/C=N/C1CC1)[N+](=O)[O-]
QAQDAN,196.9,1.3019,304.7,5025,9.2,CCN([C@H]1CN=NN1c1ccc(cc1)[N+](=O)[O-])CC
QAQPIH,284.3,1.4116,113.3,5912,13.5,N#CC1=NO[C@](C1(C)C)(C#N)[N+](=O)[O-]
QARHEZ,-101.3,1.3281,220.5,4617,7.9,CCCN1[C@@H]2[C@@]1([N+](=O)[O-])C(=O)N(c1c2cccc1)C
QATYES,329.3,1.3559,292.2,4162,6.5,[O-][N+](=O)c1nnn(c1c1cccc2c1cccc2)Cc1ccccc1
QATZOD,-126.2,1.563,304.3,4814,9.6,[O-][N+](=O)c1ccc(cc1)NN1C(=O)c2c(C1=O)cccc2
QAVCIC,-139.5,1.5895,293.3,5502,12.7,[O-][N+](=O)c1cc(ccc1NN1C(=O)c2c(C1=O)cccc2)[N+](=O)[O-]
QAXJOO,-755.9,1.4342,295.2,4562,8.1,COC(=O)C1=C(C)NC(=O)[C@H]([C@@H]1c1ccc(cc1)[N+](=O)[O-])C(=O)N
QAZDOK,-86.6,1.503,217.1,5976,14.4,CC1=C(C)C[C@H]2[C@](C1)([N+](=O)[O-])[C@H](O)NC1=C2[N+](=O)O[N-]1
QEBRIB,218.4,1.4826,294.8,5311,11.3,Cc1ccc(cc1)c1noc2n1cc(n2)[N+](=O)[O-]
QEBWUP,-543.1,1.5392,295.2,5355,11.7,O=C(Nc1ccccc1[N+](=O)[O-])ON1C(=O)CCC1=O
QECKIU,-197.6,1.4384,289,4636,8.4,OC1=CC(=O)/C(=C\Nc2cccc(c2)[N+](=O)[O-])/C=C1
QECQUN,-105.6,1.4405,252.6,6357,15.8,NC(=C([N+](=O)[O-])[N+](=O)[O-])N1N=C(C[C@@]1(C)O)C
QEGQUR,157.7,1.3038,295.4,4382,7,C[C@]1(C[C@H]1[N+](=O)/C=C/1\C=CC(=[N+]([O-])[O-])C=C1)c1ccccc1
QELQEG,-35.8,1.4141,262.2,4335,7.3,O=C(c1c2ccccc2nc(c1[N+](=O)[O-])N)NCc1ccccc1
QEPJAY,-291.9,1.294,317.9,4298,6.7,C[C@@H](Cn1c(C)ncc1[N+](=O)[O-])OC(=O)/C=C/c1ccccc1
QEPJEC,-349.8,1.3332,317.8,4431,7.3,C[C@H](Cn1c(C)ncc1[N+](=O)[O-])OC(=O)c1ccccc1
QEPJIG01,-435.5,1.3338,317.2,4949,9.1,C[C@H](Cn1c(C)ncc1[N+](=O)[O-])OC(=O)C
QERYUK,32.5,1.4886,271,4422,7.8,[O-][N+](=O)c1ccccc1/C=C/1\Nc2c(C1=O)cccc2
QERZAR,-43.1,1.435,288.1,4205,6.9,[O-][N+](=O)c1ccc(cc1)c1cc(=O)c2c([nH]1)cccc2
QETTEO01,213.9,1.2987,294.2,4249,6.6,C/C(=N\N=C(\c1ccccc1)/C)/c1ccc(cc1)[N+](=O)[O-]
QEVFEC,-319.4,1.498,290.1,4464,8,O=C(c1ccccc1)/C=c/1\[nH]c2cc(ccc2oc1=O)[N+](=O)[O-]
QEXZIF,365.3,1.3515,293.7,4554,7.8,Cc1nn(c(c1/N=N/c1ccccc1)C)c1ccc(cc1)[N+](=O)[O-]
QEYGOS,-65.9,1.3404,317.3,4024,6,[O-][N+](=O)c1cccc(c1O)/C=C/C1=Nc2c(C1(C)C)cccc2
QEYHAF,-60.7,1.3194,300.6,3992,5.9,Oc1ccc(cc1/C=C/C1=Nc2c(C1(C)C)cccc2)[N+](=O)[O-]
QIFPON,641.9,1.9206,335.2,8481,33.8,[O-][N+](=O)c1c2N=NN=[n+]2c2c(c1N)[n+](=O)on2
QIJDAO,77.7,1.4498,121,5220,10.7,[O-][N+](=O)N1CCc2c1cccc2
QIKDAP,3.1,1.552,334.1,5802,13.9,Nc1ccc(c(c1)N)[N+](=O)[O-]
QIKDET,-10,1.6005,283.3,6561,18.1,Nc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
QIMGIC,-127.3,1.4112,291.9,4678,8.4,N#CC1=C(N)OC(=C([C@@H]1c1cccc(c1)[N+](=O)[O-])C(=O)C)C
QIMGOI,-360.3,1.3749,291.1,4580,7.9,CCOC(=O)C1=C(C)OC(=C([C@@H]1c1cccc(c1)[N+](=O)[O-])C#N)N
QIRPAL,-240.6,1.5073,254.9,5934,14.2,[O-][N+](=O)c1cc(C)c(c(c1O)[N+](=O)[O-])C
QIRQOZ,45.3,1.435,287.4,5127,10.3,[O-][N+](=O)c1ccc(cc1)n1nnc(c1C)C(=O)C
QIXSAS,182.4,1.6132,268.6,6672,18.8,N/N=C/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
QIYJIR,-205.6,1.3778,284.1,4513,7.7,N#C/C=C/1\CCC[C@@H]1OC(=O)c1ccc(cc1)[N+](=O)[O-]
QOCNUT,102,1.3637,287.5,4329,7.1,Cc1cnc(c(n1)Cc1c[nH]c2c1c(ccc2)[N+](=O)[O-])C
QOFHEZ,276.1,1.2995,308,4356,6.9,[O-][N+](=O)c1ccc(cc1)N/N=C/C=C/c1ccccc1
QOFQIL,-123,1.2539,296.7,4103,6,CC1(C)NC(NC1(C)C)c1ccc(cc1)[N+](=O)[O-]
QOFQOR,-180,1.3001,296.2,5017,9.2,ON1C(c2ccc(cc2)[N+](=O)[O-])N(C(C1(C)C)(C)C)O
QOKYAR,197.4,1.3091,273.3,3847,5.4,CN1CC(=C2C(=C(c3ccccc3)c3c2cccc3)C1)[N+](=O)[O-]
QOLXIY,146.2,1.4572,261,6399,16.2,CCN([N+](=O)[N-]Oc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])CC
QONRUI,-192.4,1.5315,550589.8,7353,22.1,[O-][N+](=O)N(CO)C
QOQWUO,-101.2,1.513,243,5115,10.6,O=Cc1cn(nc1c1cc(C)ccc1O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
QOTGEL01,-91,1.2421,309.6,4167,6.1,[O-][N+](=O)c1ccc(nc1)NC1CCCCCCC1
QOTGOV02,-134.8,1.31,307.2,3903,5.6,[O-][N+](=O)c1ccc(nc1)N[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3
QOVLIX,-223.3,1.3578,220.3,4885,9,O=C[C@@H]1CC[C@H](N(O1)c1ccccc1)[C@H]([N+](=O)[O-])C
QOVXUV,-319.8,1.3817,317.4,5022,9.6,[O-][N+](=O)C1=C/C(=C/NCCCO)/C(=O)C=C1
QOYJOD06,-36.4,1.9155,275.1,8298,32.3,[O-][N+](=O)c1n[nH]c(=O)[nH]1
QQQAIY04,155.7,1.3152,290.7,4200,6.5,[O-][N+](=O)c1ccc(cc1)/C=N/c1ccccc1
QQQCOY10,50.7,1.3796,304,4657,8.2,O=C(Nc1ccccc1)/C=N/Nc1ccc(cc1[N+](=O)[O-])C
QQQFGG01,71.3,1.488,296.7,5249,11,[O-][N+](=O)c1cc(ccc1Nc1ccccc1)[N+](=O)[O-]
QQQFNG02,-8.7,1.6276,296.6,6639,18.7,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])N
QUCJEE,135.9,1.4013,290.7,4710,8.5,O/N=C(/c1ccc(cc1)/N=C/c1ccc(cc1)[N+](=O)[O-])\C
QUDROX,56.3,1.4155,278,4466,7.7,O=C(c1noc(c1[N+](=O)[O-])c1ccccc1)c1ccccc1
QUFSAN,-280.5,1.5258,277.6,5356,11.7,O=C(Oc1ccccc1)Nc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
QUGLIN,-18.3,1.3407,113.6,4221,6.6,[O-][N+](=O)N1c2ccccc2C(=O)[C@]1(C)c1ccccc1
QUJGIL,-1443.3,1.5578,287.6,5264,11.4,OC(=O)c1cc(cc(c1c1c(cc(cc1C(=O)O)[N+](=O)[O-])C(=O)O)C(=O)O)[N+](=O)[O-]
QUNDIO02,-84.2,1.5256,284,5160,10.8,O=C(c1cccc(c1)[N+](=O)[O-])c1cccc(c1)[N+](=O)[O-]
QUNRIC,-572.3,1.5535,275.6,5582,12.8,O=C1N(C)C(=O)N(C(=O)C1c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
QUXTIO,310.8,1.3667,294.3,4048,6.2,[O-][N+](=O)c1ccc(cc1)/C=N/c1c(nc2n1cccc2)c1ccccc1
QUYKUR01,72.2,1.2997,291.2,4017,5.9,[O-][N+](=O)c1ccc(cc1)/C=N/c1cccc(c1C)C
QUYQEH,-1.8,1.374,258.4,4314,7,CC(=O)N1N=C(C[C@@H]1c1ccccc1)c1ccccc1[N+](=O)[O-]
QUZBET,-95.5,1.4287,270,4752,8.8,Oc1ccc(cc1)/C=N/NC(=O)c1ccccc1[N+](=O)[O-]
QUZNUV,-209,1.3441,294.9,4765,8.5,O=CNCCc1ccc(cc1)[N+](=O)[O-]
RABPIP,-452.4,1.404,310.3,4829,9,COC(=O)/C(=C/[N+](=O)[O-])/NC(=O)c1ccccc1
RAJHIT,60.2,1.2742,309.2,4219,6.4,CN([C@H](c1ccccc1)C)c1ccc(cn1)[N+](=O)[O-]
RAJHOZ,14.8,1.3071,308.2,4194,6.4,Cc1cc(cnc1N[C@H](c1ccccc1)C)[N+](=O)[O-]
RAKMUM,65.4,1.3661,298.2,4580,7.9,CNc1ccc(c2c1c(ccc2)N(C)C)[N+](=O)[O-]
RAKNAT,67.7,1.3266,278.9,4500,7.5,CNc1cccc2c1c(ccc2[N+](=O)[O-])N(C)C
RAMRUS,-333.7,1.4428,287.9,5103,10.2,O=C(c1ccc(cc1)[N+](=O)[O-])N1[C@@H]2[C@H]1COCOC2
RAMSAZ,-181.8,1.37,296.5,5014,9.5,[O-][N+](=O)c1ccc(cc1)CN1[C@@H]2[C@H]1COCOC2
RAMVUW,236.9,1.6889,295.4,7935,27.4,[O-][N+](=O)c1c[nH]nn1
RAPFIY,-356.3,1.5932,277.1,6221,16.2,COC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
RAPHEY,-119.8,1.3768,305.7,4126,6.5,Oc1ccc(cc1/C=N/c1ccccc1Oc1ccccc1)[N+](=O)[O-]
RAPLAY,33.7,1.4028,280.1,4148,6.6,Oc1ccc(c(c1)/C=N/c1cccc2c1cccc2)[N+](=O)[O-]
RAQROR,502.3,1.6805,161.9,6894,20.6,O=[N+]1O[N-]C2=C1[C@@H]1[C@H]3C=C[C@@H]([C@@]1(C1=C2[N+](=O)O[N-]1)[N+](=O)[O-])C3
RAQRUX,343.4,1.5244,125,6288,16.1,O=[N+]1O[N-]C2=C1[C@H]1CC(=C(C[C@]1(C1=C2[N+](=O)O[N-]1)[N+](=O)[O-])C)C
RASZIU,-231.6,1.2686,310.1,4662,7.8,CN(CC[NH2+]Cc1cc(ccc1[O-])[N+](=O)[O-])C
RAVNEH,-455.5,1.2882,264.9,4333,6.8,CC(=O)N(c1c(C)ccc(c1[N+](=O)[O-])C)C(=O)C
RAYXUK,-327.9,1.5067,292.4,5146,10.7,COc1cc(=O)c2c([nH]c1=O)ccc(c2)[N+](=O)[O-]
REBHOW,103.9,1.3367,256.6,4164,6.4,[O-][N+](=O)c1c(C)cccc1c1nc2c([nH]1)cccc2
REBLER,159.3,1.4141,290.2,4372,7.4,O=C(c1ccc(cc1)[N+](=O)[O-])N/N=C(\c1ccccn1)/c1ccccc1
REBPEU,16.4,1.3143,215.8,5101,9.5,CC[C@@H]([C@H]1NC(=C(N([C@@H]1OC)CC)C#N)C#N)[N+](=O)[O-]
REGCUB,332,1.5452,290.9,5474,12.3,Cc1nn2c(c1)[nH]nc2c1cccc(c1)[N+](=O)[O-]
REKKAW,153.9,1.3137,294.8,4056,6,CCc1cc(nn1c1ccc(cc1)[N+](=O)[O-])c1ccccc1
