ID,Formula,Density,OB2,Mass,Volume,Ro(g/cm^3),Area,PosArea,NegArea,Ave,PosAve,NegAve,Sigma2,PosSigma2,NegSigma2,Nu,NuSigma2,Pi,MPI,NonPolarArea,PolarArea,Sphericity,HSub,Dipole
ske_55_3_35,C4HN7O6,1.909492441,-16.46098461,242.99883,210.01635,1.9221,215.62769,109.29092,106.33676,5.6096,21.8951,-11.12833,206.46045,174.17903,32.28142,0.1319091,27.23401,16.93803,16.58547,71.21,144.42,0.7924,100.3324644,0.561716983
ske_55_3_38,C4H3N7O4,1.81688802,-41.30977331,213.02465,194.82632,1.8164,196.41378,100.3992,96.01458,2.64852,17.49993,-12.8811,202.87026,156.45569,46.41456,0.17644481,35.7954,15.28909,15.24207,66.64,129.77,0.8275,96.76667703,1.809741691
ske_55_3_40,C4H3N7O4,1.856374868,-41.30977331,213.02465,195.73704,1.8079,202.69067,101.91194,100.77873,3.339,23.85945,-17.4122,353.07961,278.48817,74.59143,0.16662894,58.83328,20.76096,20.65384,46.49,156.2,0.8043,111.2077983,2.961410163
ske_55_3_41,C4H3N7O4,1.834596741,-41.30977331,213.02465,193.85903,1.8254,195.52689,102.64067,92.88622,3.8358,20.25719,-14.31008,227.44349,176.11587,51.32761,0.17474412,39.74441,17.42017,17.43198,51.39,144.14,0.8285,98.59635146,0.751011201
ske_55_3_42,C4H3N7O4,1.813518336,-41.30977331,213.02465,196.28539,1.8029,203.39592,105.57819,97.81772,3.81101,21.43056,-15.2064,217.49281,162.846,54.64682,0.18812743,40.91636,18.45205,18.43722,47.63,155.77,0.803,102.7382359,1.161095741
ske_55_3_45,C4H3N7O4,1.899795127,-41.30977331,213.02465,193.75511,1.8264,194.63673,102.61206,92.02467,1.80847,19.24691,-17.63625,327.94566,225.89843,102.04723,0.21434366,70.29307,18.42691,18.48539,61.86,132.77,0.8319,112.5604084,2.922489854
ske_55_3_47,C4H3N7O4,1.857063477,-41.30977331,213.02465,195.95248,1.8059,201.77892,99.37936,102.39956,2.19205,22.30947,-17.33202,369.87821,294.26201,75.6162,0.16264157,60.15757,19.87213,19.78349,47.16,154.62,0.8086,111.3884178,3.130123599
ske_55_3_65,C4N8O8,1.971877341,,287.98391,240.42181,1.9898,239.74492,129.86977,109.87515,5.43398,17.36631,-8.66975,186.75897,159.59412,27.16485,0.12429717,23.21361,13.78213,13.38068,115.63,124.12,0.7799,109.8310577,0.143041892
ske_55_3_67,C4H2N8O6,1.893188206,-18.60394955,258.00973,226.55652,1.8918,227.45535,103.95265,123.5027,3.37855,21.2014,-11.62299,221.03432,178.14802,42.8863,0.15637961,34.56526,16.44208,16.00056,80.82,146.64,0.7901,110.7427139,1.905371296
ske_55_3_68,C4H2N8O6,1.90008614,-18.60394955,258.00973,224.44633,1.9096,224.10851,115.46612,108.64239,4.97445,20.41715,-11.43818,175.15461,138.50292,36.65169,0.16546637,28.9822,16.27193,16.06436,72.36,151.75,0.797,105.6344579,0.992715545
ske_55_3_69,C4H2N8O6,1.935447418,-18.60394955,258.00973,224.24015,1.9113,222.92783,111.73477,111.19307,3.18157,20.45745,-14.17847,242.55603,182.9193,59.63673,0.18541686,44.97398,17.44107,17.32559,60.71,162.22,0.8007,114.1729814,2.683949112
ske_55_4_33,C4HN7O6,1.949914284,-16.46098461,242.99883,209.63059,1.9256,212.55687,112.25514,100.30174,5.13076,22.06698,-13.82383,290.6909,235.45719,55.23371,0.1539052,44.73884,18.28571,18.17719,61.95,150.61,0.8029,109.0088659,2.003945899
ske_55_4_35,C4HN7O6,1.940717587,-16.46098461,242.99883,209.97631,1.9224,215.44597,113.56693,101.87904,5.68779,22.58665,-13.14977,262.02626,209.57188,52.45438,0.16011246,41.95367,18.28442,18.12418,64.87,150.57,0.793,108.9297841,1.677272435
ske_55_4_65,C4N8O8,1.998654169,,287.98391,240.04289,1.9929,239.09012,141.38148,97.70864,5.74323,17.41244,-11.14176,213.524,170.39068,43.13331,0.16120009,34.42009,14.64345,14.84981,97.82,141.27,0.7812,116.7184674,1.107018051
ske_55_5_19,C3N8O6,1.95975897,,243.99408,205.83476,1.9691,207.73106,121.69051,86.04056,5.51496,15.72818,-8.92999,191.15493,157.46002,33.69491,0.14519899,27.7555,12.97214,12.91243,103.56,104.17,0.8116,96.94272294,0.631884954
ske_55_5_7,C3HN7O4,1.903438513,-20.09959349,199.009,175.02518,1.8888,180.29699,92.59719,87.6998,4.87631,21.21977,-12.37981,285.64246,236.11343,49.52903,0.1433293,40.94093,17.17832,16.91985,61.46,118.84,0.8393,92.85523092,1.686477487
ske_55_5_8,C3HN7O4,1.887721946,-20.09959349,199.009,175.5223,1.8835,183.54296,95.36138,88.18158,5.76303,21.67336,-11.44272,252.38941,208.74491,43.6445,0.1430221,36.09726,17.05552,16.75814,66.42,117.13,0.826,91.47985231,1.133566247
ske_55_6_1,C3H2N6O2,1.790568377,-51.93998439,154.02392,144.59724,1.7695,154.55382,79.66958,74.88425,3.38441,21.37303,-15.75374,282.18725,223.25057,58.93668,0.16523555,46.62737,18.67344,18.65038,37.01,117.55,0.862,86.1967451,0.730302506
ske_55_6_19,C3N8O6,1.941164654,,243.99408,206.09105,1.9666,210.37959,104.03823,106.34136,5.04383,18.57392,-8.19323,173.5158,150.24955,23.26625,0.11610782,20.14654,13.88341,13.32676,104.05,106.33,0.802,92.79766932,0.237503465
ske_55_6_20,C3H2N8O4,1.848151347,-22.42782096,214.0199,192.04427,1.8512,197.67843,91.5345,106.14393,2.83535,20.87553,-12.72181,223.13212,182.32265,40.80946,0.14944361,33.34567,16.80794,16.49737,58.38,139.3,0.8143,95.88538895,1.914881432
ske_55_6_7,C3HN7O4,1.885132457,-20.09959349,199.009,175.12448,1.8877,181.01478,84.3269,96.68789,3.44223,21.20612,-12.05065,270.15004,231.98719,38.16286,0.12130949,32.77177,16.70717,16.31578,57.01,124,0.8362,88.49482571,1.522356954
ske_55_6_8,C3HN7O4,1.877401615,-20.09959349,199.009,175.39043,1.8849,183.72248,88.92878,94.79371,4.37135,21.79758,-11.97672,234.53379,198.51761,36.01618,0.12998278,30.48535,17.11605,16.7304,55.04,128.68,0.8248,88.19460373,1.096633474
ske_55_7_15,C3H3N7O2,1.747061378,-52.06027965,169.03482,161.28674,1.741,167.18208,85.58139,81.6007,2.13592,17.03931,-13.4945,212.37822,158.70599,53.67223,0.18885261,40.10818,15.32867,15.30911,59.33,107.85,0.8571,87.31537805,1.437071149
ske_55_7_19,C3N8O6,1.943610803,,243.99408,206.35134,1.9642,209.56676,103.95194,105.61481,5.05877,19.15794,-8.81842,171.61931,144.976,26.64331,0.13114507,22.50703,14.46574,13.94716,98.51,111.06,0.8058,94.18080264,0.424716184
ske_55_7_2,C3H2N6O2,1.789424246,-51.93998439,154.02392,145.1663,1.7626,154.58358,79.85797,74.72561,3.11789,21.06446,-16.0613,305.27803,243.08946,62.18857,0.16221297,49.52006,18.64692,18.64593,36.94,117.65,0.8641,87.64667153,0.858867915
ske_55_7_7,C3HN7O4,1.873209392,-20.09959349,199.009,175.9117,1.8793,183.2931,89.66892,93.62418,4.24574,21.27278,-12.06198,229.38717,192.02169,37.36548,0.13635862,31.27892,16.89462,16.568,55.21,128.09,0.8283,88.51136202,1.045129354
ske_55_7_9,C3HN7O4,1.891957647,-20.09959349,199.009,175.42135,1.8845,180.62449,85.70121,94.92328,3.3924,21.74366,-13.17598,283.24439,238.58767,44.65672,0.13280431,37.61607,17.55536,17.2411,51,129.62,0.839,91.15635868,1.753962162
ske_55_8_19,C3N8O6,1.9611838,,243.99408,206.39076,1.9638,209.56391,111.54275,98.02116,5.31271,18.38227,-9.55973,190.61064,151.51913,39.09151,0.16302552,31.0744,14.51149,14.25563,91.42,118.14,0.8059,99.90898111,0.890891581
ske_55_8_7,C3HN7O4,1.907965314,-20.09959349,199.009,175.89922,1.8794,183.14335,93.31463,89.82872,4.31051,22.06462,-14.13257,286.92215,226.35905,60.56311,0.16652439,47.77954,18.35073,18.17408,54.87,128.27,0.829,97.55564421,1.947944741
ske_55_8_9,C3HN7O4,1.905358488,-20.09959349,199.009,176.04006,1.8779,183.47783,94.00765,89.47017,4.58566,22.09714,-13.81391,291.23477,231.83368,59.4011,0.16236206,47.28548,18.23648,18.05795,56.19,127.29,0.8279,97.44531339,1.811981301
ske_56_10_19,C4N8O6,1.907339321,,255.99408,220.09467,1.9321,222.45325,112.27282,110.18043,6.33774,20.61196,-8.20756,248.27315,224.83336,23.43979,0.08549781,21.22681,15.2093,14.4681,107.75,114.71,0.7925,99.45241947,0.732992292
ske_56_10_20,C4H2N8O4,1.866855345,-35.39511344,226.0199,204.5114,1.8359,206.01447,98.55367,107.4608,3.67645,25.48745,-16.32669,332.34546,271.23349,61.11197,0.15006869,49.87465,21.00678,20.70904,44.03,161.98,0.8148,108.5284371,3.104402443
ske_56_10_21,C4H2N8O4,1.827112998,-35.39511344,226.0199,204.54694,1.8356,206.77703,104.47579,102.30124,4.40313,21.60072,-13.16001,199.58908,161.04724,38.54184,0.15581604,31.09918,17.60308,17.42474,52.98,153.8,0.8119,98.62874042,1.900830653
ske_56_10_22,C4H2N8O4,1.849315086,-35.39511344,226.0199,204.11076,1.8395,205.58626,103.63667,101.94959,4.17433,21.42433,-13.36113,220.21836,168.20437,52.01398,0.18040575,39.72866,17.5977,17.42581,58.3,147.29,0.8155,103.0931267,1.960807612
ske_56_11_19,C4N8O6,1.919276877,,255.99408,219.03675,1.9415,221.73364,110.70182,111.03182,6.1019,20.97023,-8.72224,251.20326,226.55672,24.64654,0.0884876,22.22837,15.57923,14.83712,100.51,121.23,0.7925,99.8369241,0.529627757
ske_56_12_19,C4N8O6,1.911992184,,255.99408,219.37464,1.9385,224.93392,108.86905,116.06487,6.29632,23.12097,-9.48524,261.88424,239.76135,22.12289,0.07733966,20.25404,16.88727,16.085,90.84,134.1,0.782,99.95459601,0.321026068
ske_56_13_19,C4N8O6,1.930262488,,255.99408,218.71874,1.9443,222.45572,113.29778,109.15794,6.25199,20.91172,-8.9637,262.06146,232.70916,29.3523,0.09946019,26.06468,15.68897,15.04889,101.86,120.6,0.7892,102.8908792,0.315957713
ske_56_14_19,C4N8O6,1.908728109,,255.99408,219.71616,1.9355,224.13069,108.64871,115.48198,6.22485,22.2415,-8.84407,259.35424,237.28139,22.07284,0.07786374,20.19429,16.16138,15.33855,97.96,126.17,0.7856,99.50599613,0.517053162
ske_56_15_19,C4N8O6,1.922846697,,255.99408,219.2044,1.94,225.17284,113.10242,112.07042,6.40919,21.92832,-9.25285,270.50681,243.04289,27.46391,0.09121977,24.67557,16.32877,15.61963,93.88,131.29,0.7808,103.2972991,0.426718017
ske_56_16_19,C4N8O6,1.925468648,,255.99408,218.70205,1.9444,220.99749,112.25748,108.74001,6.22712,20.77705,-8.79346,269.06929,242.76587,26.30343,0.08820063,23.73208,15.60978,14.88062,101.4,119.6,0.7943,100.555453,0.338417475
ske_56_16_22,C4H2N8O4,1.854158657,-35.39511344,226.0199,204.02073,1.8403,206.3011,94.5754,111.7257,2.64678,22.09054,-13.8123,264.56396,212.79898,51.76499,0.15737809,41.63657,17.91591,17.60732,57.05,149.25,0.8124,104.4540427,2.770423081
